Date,GS
2010-08-07,155.25332666666665
2010-08-08,155.32666033333334
2010-08-09,155.399994
2010-08-10,153.899994
2010-08-11,149.25
2010-08-12,149.419998
2010-08-13,148.080002
2010-08-14,147.973333
2010-08-15,147.86666400000001
2010-08-16,147.759995
2010-08-17,148.58999599999999
2010-08-18,149.199997
2010-08-19,147.050003
2010-08-20,148.240005
2010-08-21,147.740005
2010-08-22,147.240005
2010-08-23,146.740005
2010-08-24,143.949997
2010-08-25,144.679993
2010-08-26,141.809998
2010-08-27,139.75
2010-08-28,138.72000133333333
2010-08-29,137.6900026666667
2010-08-30,136.66000400000001
2010-08-31,136.929993
2010-09-01,139.740005
2010-09-02,139.779999
2010-09-03,147.28999299999998
2010-09-04,146.7699965
2010-09-05,146.25
2010-09-06,145.7300035
2010-09-07,145.21000700000002
2010-09-08,147.53999299999998
2010-09-09,149.139999
2010-09-10,150.389999
2010-09-11,151.7166643333333
2010-09-12,153.04332966666666
2010-09-13,154.369995
2010-09-14,152.529999
2010-09-15,152.559998
2010-09-16,152.229996
2010-09-17,150.979996
2010-09-18,151.286662
2010-09-19,151.59332799999999
2010-09-20,151.899994
2010-09-21,151.399994
2010-09-22,148.070007
2010-09-23,144.91000400000001
2010-09-24,147.279999
2010-09-25,146.85333266666666
2010-09-26,146.42666633333334
2010-09-27,146.0
2010-09-28,145.009995
2010-09-29,144.419998
2010-09-30,144.580002
2010-10-01,147.699997
2010-10-02,147.32333366666666
2010-10-03,146.94667033333334
2010-10-04,146.570007
2010-10-05,149.570007
2010-10-06,150.83999599999999
2010-10-07,151.110001
2010-10-08,152.66000400000001
2010-10-09,152.50666833333335
2010-10-10,152.35333266666666
2010-10-11,152.199997
2010-10-12,155.21000700000002
2010-10-13,154.729996
2010-10-14,151.58999599999999
2010-10-15,150.690002
2010-10-16,151.69333366666666
2010-10-17,152.69666533333333
2010-10-18,153.699997
2010-10-19,156.720001
2010-10-20,159.600006
2010-10-21,159.300003
2010-10-22,157.759995
2010-10-23,157.636663
2010-10-24,157.513331
2010-10-25,157.389999
2010-10-26,158.28999299999998
2010-10-27,160.149994
2010-10-28,163.240005
2010-10-29,161.130005
2010-10-30,161.27667233333335
2010-10-31,161.42333966666666
2010-11-01,161.570007
2010-11-02,162.820007
