Date,BZ=F_oil,CL=F_oil,GLD,SI=F,AAPL,BAC,C,CS,DB,GSBD(march-19-2015),HRI,JPM,LYG,MAN,MS,MUFG,UBS
2018-07-10,78.860001,74.110001,118.93,16.003,47.587502,28.83,68.230003,15.21,11.43,21.68,58.580002,106.620003,3.35,86.41999799999999,48.099998,5.71,15.29
2018-07-11,73.400002,70.379997,117.639999,15.732,46.970001,28.68,67.910004,14.85,11.15,21.700001,57.669998,106.389999,3.32,84.790001,47.75,5.65,14.98
2018-07-12,74.449997,70.33000200000001,118.129997,15.898,47.7575,28.77,68.510002,14.81,11.2,21.75,57.299999,106.849998,3.32,85.199997,48.02,5.67,15.0
2018-07-13,75.33000200000001,71.010002,117.610001,15.739,47.8325,28.549999,67.0,14.81,11.24,21.719998999999998,59.669998,106.360001,3.33,85.949997,48.080002,5.66,15.0
2018-07-14,74.16666666666667,70.02666733333334,117.59000166666667,15.737666666666668,47.79750033333334,28.95999966666667,67.81999966666666,14.953333333333333,11.540000000000001,21.659999666666664,59.48333233333334,107.766668,3.3333333333333335,85.63333133333333,48.353335333333334,5.68,15.073333333333334
2018-07-15,73.00333133333334,69.04333266666666,117.57000233333333,15.736333333333333,47.76250066666667,29.370000333333333,68.63999933333334,15.096666666666668,11.84,21.600000333333334,59.29666666666667,109.17333500000001,3.3366666666666664,85.31666566666667,48.62666866666667,5.7,15.146666666666667
2018-07-16,71.839996,68.059998,117.550003,15.735,47.727501000000004,29.780001000000002,69.459999,15.24,12.14,21.540001,59.110001000000004,110.58000200000001,3.34,85.0,48.900002,5.72,15.22
2018-07-17,72.160004,68.08000200000001,116.279999,15.546,47.862499,30.01,69.349998,15.14,11.87,21.84,59.459998999999996,110.5,3.29,86.209999,49.18,5.82,15.19
2018-07-18,72.900002,68.760002,116.309998,15.503,47.599998,30.129998999999998,69.849998,15.27,12.08,22.18,60.049999,111.529999,3.27,86.629997,50.560001,5.82,15.4
2018-07-19,72.58000200000001,69.459999,115.809998,15.34,47.970001,29.67,68.989998,15.19,12.02,22.0,60.73,109.889999,3.28,86.099998,49.849998,5.86,15.33
