Date,Open,High,Low,GS,Adj Close,Volume,MA7,MA21,EMA,PCh_up,PCh_dn,PCc_mid,20STD,upper_band,lower_band,LeadingSpanA,LeadingSpanB,BaseLine,ConversionLine,MassIndex,Stoch,StochSignal,rsi,EMA12,EMA26,MACD,GSshift1,ROC7,momentum,VWAP,MFI
2010-01-04,170.050003,174.25,169.509995,173.080002,146.543259,9135000.0,174.4757125714286,167.63642823809525,173.080002,177.669998,154.119995,165.8949965,6.388939797601043,181.0614627952021,155.50570360479793,171.8799975,171.8799975,171.8799975,171.8799975,1.0,75.31652392771751,75.31652392771751,100.0,173.080002,173.080002,0.0,173.080002,-0.8782089105822868,99.12179108941771,172.279999,50.0
2010-01-05,173.0,176.259995,172.570007,176.139999,149.13403300000004,11659400.0,174.4757125714286,167.63642823809525,174.8800002352941,177.669998,154.119995,165.8949965,6.388939797601043,181.0614627952021,155.50570360479793,172.884995,172.884995,172.884995,172.884995,1.9642395560845292,98.22228148148126,86.76940270459939,100.0,174.73750037499997,174.66884659615383,0.06865377884614077,173.080002,-0.8782089105822868,99.12179108941771,173.79949413070187,100.0
2010-01-06,175.380005,175.380005,173.759995,174.259995,147.542236,7381100.0,174.4757125714286,167.63642823809525,174.5968928219178,177.669998,154.119995,165.8949965,6.388939797601043,181.0614627952021,155.50570360479793,172.884995,172.884995,172.884995,172.884995,2.832313371053851,70.37037037037037,81.3030585931897,60.18146863714124,174.5511299168591,174.52195018728438,0.029179729574735802,176.139999,-0.8782089105822868,99.12179108941771,173.97427203715876,61.305810555892364
2010-01-07,174.320007,178.75,173.949997,177.669998,150.429474,8727400.0,174.4757125714286,167.63642823809525,175.81012029056453,177.669998,154.119995,165.8949965,6.388939797601043,181.0614627952021,155.50570360479793,174.1299975,174.1299975,174.1299975,174.1299975,3.7552909045443292,88.31167299151886,85.63477494779015,77.60231027828907,175.53563468390803,175.40200678735368,0.13362789655434426,174.259995,-0.8782089105822868,99.12179108941771,174.64018094072011,73.56253818777988
2010-01-08,176.330002,177.429993,173.949997,174.309998,147.584579,7268100.0,174.4757125714286,167.63642823809525,175.2691652977534,177.669998,154.119995,165.8949965,6.388939797601043,181.0614627952021,155.50570360479793,174.1299975,174.1299975,174.1299975,174.1299975,4.668957113841613,51.9480563051644,70.21003322235119,52.99794658630043,175.2026335772871,175.1487654454681,0.05386813181900152,177.669998,-0.8782089105822868,99.12179108941771,174.7372318300446,58.31510843099722
2010-01-09,175.90666733333333,176.63999466666667,172.80666599999998,173.39333133333335,146.80847633333332,7413700.0,174.4757125714286,167.63642823809525,174.6313803467237,177.669998,154.119995,165.8949965,6.388939797601043,181.0614627952021,155.50570360479793,174.1299975,174.1299975,174.1299975,174.1299975,5.59269784725687,42.02742675283561,60.7623853498396,48.48175207419404,174.76287794496895,174.7971659936477,-0.03428804867874646,174.309998,-0.8782089105822868,99.12179108941771,174.6715185587012,48.1832476771216
2010-01-10,175.48333266666668,175.84999633333337,171.66333500000002,172.47666466666664,146.03237366666667,7559300.0,174.4757125714286,167.63642823809525,173.92695302361074,177.669998,154.119995,165.8949965,6.388939797601043,181.0614627952021,155.50570360479793,174.1299975,174.1299975,174.1299975,174.1299975,6.539481246867068,32.10679720050621,42.027426752835375,44.40658297044868,174.2527174507657,174.38447686180413,-0.1317594110384448,173.39333133333335,-0.8782089105822868,99.12179108941771,174.50005651149678,40.96553600976209
2010-01-11,175.059998,175.059998,170.520004,171.559998,145.256271,7704900.0,174.25856914285717,167.63642823809525,173.17342725551296,177.669998,154.119995,165.8949965,6.388939797601043,181.0614627952021,155.50570360479793,174.1299975,174.1299975,174.1299975,174.1299975,7.517030013444214,22.18616764817773,32.106797200506485,40.7204999421371,173.6907884045616,173.92938333131013,-0.238594926748533,172.47666466666664,-0.8782089105822868,99.12179108941771,174.25570210304082,35.56512982427324
2010-01-12,170.009995,170.479996,167.029999,167.820007,142.089661,10360100.0,173.0699988571429,167.63642823809525,171.49986698542932,177.669998,154.119995,165.8949965,6.388939797601043,181.0614627952021,155.50570360479793,172.8899995,172.8899995,172.8899995,172.8899995,8.473425269895264,6.740682018713143,20.344548955799,29.83795235633137,172.52933888416888,173.02383964025609,-0.4945007560872057,171.559998,-4.7235108704638895,95.27648912953612,173.4757837672987,30.314389877624706
2010-01-13,168.009995,169.669998,166.119995,169.070007,143.148026,11269500.0,172.32857200000004,167.63642823809525,170.74971917072602,177.669998,154.119995,165.8949965,6.388939797601043,181.0614627952021,155.50570360479793,172.4349975,172.4349975,172.4349975,172.4349975,9.421359701217158,23.357172067627943,17.428007244839577,35.99478014836764,171.87379683656886,172.47824921731984,-0.6044523807509847,167.820007,-2.9783014741851677,97.02169852581484,172.8148463060446,26.123019284131814
