Date,Real,ARIMAPredicted
2010-01-04,173.080002,172.7915302146647
2010-01-05,176.139999,173.07966428500396
2010-01-06,174.259995,176.24047715770658
2010-01-07,177.669998,174.1903449291373
2010-01-08,174.309998,177.78304280242804
2010-01-09,173.39333133333335,174.18917859859786
2010-01-10,172.47666466666664,173.36532810818818
2010-01-11,171.559998,172.44662983873903
2010-01-12,167.820007,171.53117924317152
2010-01-13,169.070007,167.69915115886826
2010-01-14,168.529999,169.12160098565397
2010-01-15,165.21000700000005,168.51507205873986
2010-01-16,165.62250550000005,165.10632105539912
2010-01-17,166.035004,165.64914667389746
2010-01-18,166.44750249999998,166.05666672893562
2010-01-19,166.860001,166.46881976904677
2010-01-20,167.78999299999995,166.88081417155172
2010-01-21,160.869995,167.827379704928
2010-01-22,154.119995,160.6466785272603
2010-01-23,154.40666199999995,153.91986858773404
2010-01-24,154.693329,154.446324847518
2010-01-25,154.979996,154.72442270154588
2010-01-26,150.880005,155.01102457238693
2010-01-27,151.5,150.7659606611311
2010-01-28,153.28999299999995,151.55176423623823
2010-01-29,148.720001,153.37390278480896
2010-01-30,150.19000233333333,148.5907542933021
2010-01-31,151.66000366666668,150.27303055940345
2010-02-01,153.130005,151.73392482445686
2010-02-02,156.940002,153.20239940978706
2010-02-03,157.229996,157.0878069615692
2010-02-04,150.679993,157.25432803861767
2010-02-05,154.160004,150.48253748807704
2010-02-06,153.14000466666667,154.30922688885803
2010-02-07,152.12000533333338,153.12454829138707
2010-02-08,151.100006,152.11146347422195
2010-02-09,152.490005,151.09250313056378
2010-02-10,153.630005,152.56324856034092
2010-02-11,154.050003,153.6904976991674
2010-02-12,153.929993,154.08575347319774
2010-02-13,154.79749325,153.94825040701014
2010-02-14,155.66499349999995,154.8490778680225
2010-02-15,156.53249375,155.71435195110857
2010-02-16,157.399994,156.58084341406447
2010-02-17,157.259995,157.44729319283078
2010-02-18,155.729996,157.27300757651813
2010-02-19,156.179993,155.69850134551248
2010-02-20,156.35666433333333,156.2172563431946
2010-02-21,156.5333356666667,156.38199345291156
2010-02-22,156.71000700000005,156.55885245583477
2010-02-23,156.699997,156.73529639415273
2010-02-24,158.330002,156.71891456224523
2010-02-25,156.440002,158.4032546344385
2010-02-26,156.350006,156.39322988154342
2010-02-27,156.41333500000002,156.36908996664783
2010-02-28,156.476664,156.43533477373285
2010-03-01,156.53999299999995,156.49848472605322
2010-03-02,158.75,156.5617406490045
2010-03-03,157.720001,158.84249021739384
2010-03-04,163.610001,157.70041644294878
2010-03-05,167.179993,163.82383418992166
2010-03-06,168.06666066666662,167.30192946475287
2010-03-07,168.95332833333333,168.09875531603683
2010-03-08,169.839996,168.98739026147746
2010-03-09,168.850006,169.87288158035975
2010-03-10,171.940002,168.81991161615645
2010-03-11,173.509995,172.0479017576174
2010-03-12,174.96000700000005,173.5591597880731
2010-03-13,174.48333766666667,175.00526108759385
2010-03-14,174.00666833333335,174.46335053292728
2010-03-15,173.529999,173.9895113051862
2010-03-16,176.190002,173.51334125354197
2010-03-17,176.639999,176.27740270091346
2010-03-18,177.449997,176.64760121076532
2010-03-19,177.899994,177.4716452508107
2010-03-20,177.31999733333333,177.90827171424695
2010-03-21,176.74000066666667,177.29419037278814
2010-03-22,176.160004,176.71608621845695
2010-03-23,174.830002,176.136750172645
2010-03-24,174.410004,174.78270817049906
2010-03-25,174.899994,174.3952179895716
2010-03-26,172.869995,174.9146408582252
2010-03-27,173.263331,172.79988633480724
2010-03-28,173.656667,173.27860966738893
2010-03-29,174.050003,173.66852996862158
2010-03-30,171.380005,174.0614909660987
2010-03-31,170.630005,171.2899539353675
2010-04-01,170.220001,170.61011124603846
2010-04-02,170.95500175,170.20985957361714
2010-04-03,171.6900025,170.98281310380202
2010-04-04,172.42500325,171.71559502498516
2010-04-05,173.160004,172.449752458454
2010-04-06,172.899994,173.18386279313594
2010-04-07,176.360001,172.89013841588834
2010-04-08,179.5,176.47434902671836
2010-04-09,179.119995,179.59521051175219
2010-04-10,178.69332866666664,179.09580795729033
2010-04-11,178.26666233333333,178.6721658246249
2010-04-12,177.839996,178.24592958648202
2010-04-13,179.25,177.81978217286084
2010-04-14,184.919998,179.29089411922283
2010-04-15,184.270004,185.09757411613515
2010-04-16,160.699997,184.22731071937488
2010-04-17,161.57333366666666,159.90952376875543
2010-04-18,162.44667033333334,161.644335017133
2010-04-19,163.320007,162.48708170084228
2010-04-20,159.979996,163.36037348341117
2010-04-21,158.929993,159.88027264810492
2010-04-22,159.050003,158.91479167514353
2010-04-23,157.399994,159.07181976873767
2010-04-24,155.60999566666666,157.36199990574835
2010-04-25,153.81999733333333,155.5714950027057
2010-04-26,152.029999,153.78375282853105
2010-04-27,153.03999299999995,151.99591605601705
2010-04-28,157.009995,153.10044708140953
2010-04-29,160.240005,157.16359998268447
2010-04-30,145.199997,160.3610425280639
2010-05-01,146.63333133333333,144.71537876516453
2010-05-02,148.06666566666667,146.7317207444527
2010-05-03,149.5,148.14329964624562
2010-05-04,149.449997,149.57558618369671
2010-05-05,148.190002,149.47489078756257
2010-05-06,142.320007,148.17677623883776
2010-05-07,142.990005,142.15757771910503
2010-05-08,143.270004,143.05578187799526
2010-05-09,143.550003,143.31426276871372
2010-05-10,143.830002,143.59464836369125
2010-05-11,141.970001,143.8742839217504
2010-05-12,147.199997,141.9433461961456
2010-05-13,144.649994,147.41199771475883
2010-05-14,143.229996,144.59061809781585
2010-05-15,143.03333033333334,143.220380715308
2010-05-16,142.83666466666662,143.0641451840415
2010-05-17,142.639999,142.8663411295642
