Date,Open,High,Low,GS,Adj Close,Volume
2010-01-04,170.050003,174.25,169.509995,173.080002,146.543259,9135000.0
2010-01-05,173.0,176.259995,172.570007,176.139999,149.13403300000002,11659400.0
2010-01-06,175.380005,175.380005,173.759995,174.259995,147.542236,7381100.0
2010-01-07,174.320007,178.75,173.949997,177.669998,150.429474,8727400.0
2010-01-08,176.330002,177.429993,173.949997,174.309998,147.584579,7268100.0
2010-01-09,175.90666733333333,176.63999466666667,172.806666,173.39333133333335,146.80847633333332,7413700.0
2010-01-10,175.48333266666668,175.84999633333334,171.663335,172.47666466666666,146.03237366666667,7559300.0
2010-01-11,175.059998,175.059998,170.520004,171.559998,145.256271,7704900.0
2010-01-12,170.009995,170.479996,167.029999,167.820007,142.089661,10360100.0
2010-01-13,168.009995,169.669998,166.119995,169.070007,143.148026,11269500.0
2010-01-14,168.0,170.720001,167.21000700000002,168.529999,142.690826,10521400.0
2010-01-15,167.600006,167.800003,164.580002,165.21000700000002,139.879837,10896300.0
2010-01-16,166.95250325,167.70000075000002,164.41,165.62250550000002,140.229084,10098550.0
2010-01-17,166.3050005,167.5999985,164.239998,166.03500400000001,140.578331,9300800.0
2010-01-18,165.65749775,167.49999624999998,164.069996,166.4475025,140.927578,8503050.0
2010-01-19,165.009995,167.399994,163.899994,166.860001,141.276825,7705300.0
2010-01-20,165.800003,168.179993,164.320007,167.78999299999998,142.064316,8893900.0
2010-01-21,169.28999299999998,171.0,156.770004,160.869995,136.205276,51738300.0
2010-01-22,158.690002,159.75,152.25,154.119995,130.490143,30175600.0
2010-01-23,157.83666966666667,159.26666766666668,153.0,154.40666199999998,130.73286966666666,26076066.666666668
2010-01-24,156.98333733333334,158.78333533333333,153.75,154.693329,130.97559633333333,21976533.333333332
2010-01-25,156.130005,158.300003,154.5,154.979996,131.218323,17877000.0
2010-01-26,154.91000400000001,156.5,150.699997,150.880005,127.74696399999999,15985900.0
2010-01-27,150.75,152.929993,148.270004,151.5,128.271866,19899000.0
2010-01-28,154.229996,155.199997,149.949997,153.28999299999998,129.78743,16160700.0
