Date,GS,fft,amplitude,phase,inv_fft3,fft3amplitude,fft3phase,inv_fft6,fft6amplitude,fft6phase,inv_fft9,fft9amplitude,fft9phase,inv_fft20,fft20amplitude,fft20phase,inv_fft100,fft100amplitude,fft100phase
2010-01-04,173.080002,(745963.220333+1.5077716852829326e-11j),745963.220333,2.0212413215357447e-17,(196.3290575032412+4.67357707206537j),745963.220333,2.0212413215357447e-17,(206.84890373891625-4.278589575621055j),745963.220333,2.0212413215357447e-17,(227.12963801927484-5.891865937045253j),745963.220333,2.0212413215357447e-17,(252.4935141618263-2.8338242023858697j),745963.220333,2.0212413215357447e-17,(248.89164015856102-0.24920615481048003j),745963.220333,2.0212413215357447e-17
2010-01-05,176.139999,(-4555.075637302236+96870.87791005729j),96977.91347068037,1.6177838525417074,(196.24178530183454+4.63012427759285j),96977.91347068037,1.6177838525417074,(206.68337790284758-4.306243854574846j),96977.91347068037,1.6177838525417074,(226.72446174972848-5.914749181591349j),96977.91347068037,1.6177838525417074,(251.13142954773758-2.80023060125482j),96977.91347068037,1.6177838525417074,(240.6491698603406-0.24877596240244182j),96977.91347068037,1.6177838525417074
2010-01-06,174.259995,(15226.663665316688+24411.322982842692j),28770.887649659668,1.0130934156535758,(196.15424963162155+4.586573904147893j),28770.887649659668,1.0130934156535758,(206.5173749317486-4.333535122419135j),28770.887649659668,1.0130934156535758,(226.31605757510377-5.936510572155156j),28770.887649659668,1.0130934156535758,(249.7560219284475-2.764014341671915j),28770.887649659668,1.0130934156535758,(232.46670511340275-0.2425316682816151j),28770.887649659668,1.0130934156535758
2010-01-07,177.669998,(38820.71371927968-19189.707457900065j),43304.6497040913,-0.4590902344669013,(196.0664505576395+4.5429268695457985j),0.0,0.0,(206.35090000987827-4.36046107853373j),43304.6497040913,-0.4590902344669013,(225.904467240626-5.957145981241108j),43304.6497040913,-0.4590902344669013,(248.36788897046029-2.7252093433007505j),43304.6497040913,-0.4590902344669013,(224.40123377911107-0.23061920680969328j),43304.6497040913,-0.4590902344669013
2010-01-08,174.309998,(11779.832960294+20400.684611357574j),23557.427643622523,1.047142694176839,(195.9783881497755+4.499184093639569j),0.0,0.0,(206.18395833303194-4.38701945309321j),23557.427643622523,1.047142694176839,(225.48973289128534-5.976651494918846j),23557.427643622523,1.047142694176839,(246.96763344560455-2.6838519503826554j),23557.427643622523,1.047142694176839,(216.50811385546112-0.2133169821457206j),23557.427643622523,1.047142694176839
2010-01-09,173.39333133333335,(-15816.925046711694-136.2360678447103j),15817.511757526136,-3.1329795572695303,(195.89006248277116+4.4553464982997735j),0.0,0.0,(206.01655510819126-4.4132080072587225j),15817.511757526136,-3.1329795572695303,(225.0718970656011-5.995023413565962j),15817.511757526136,-3.1329795572695303,(245.55586283874848-2.639980897697521j),15817.511757526136,-3.1329795572695303,(208.84036729766086-0.19102936170938145j),15817.511757526136,-3.1329795572695303
2010-01-10,172.47666466666664,(12447.959097237526+17567.888797500247j),21530.96380768481,0.9543463541104671,(195.8014736362295+4.411415007395125j),0.0,0.0,(205.84869555317584-4.4390245333673555j),0.0,0.0,(224.6510026893299-6.012258252569886j),21530.96380768481,0.9543463541104671,(244.13318895312506-2.59363727428544j),21530.96380768481,0.9543463541104671,(201.4480072748358-0.16427722577788906j),21530.96380768481,0.9543463541104671
2010-01-11,171.559998,(7095.675111279768+2147.022376985952j),7413.387240129411,0.29382376163601104,(195.7126216946196+4.367390546773268j),0.0,0.0,(205.6803848962913-4.464466855117316j),0.0,0.0,(224.22709306911733-6.028352742988378j),7413.387240129411,0.29382376163601104,(242.7002275135633-2.544864484962769j),7413.387240129411,0.29382376163601104,(194.37740984263888-0.1336857940778895j),7413.387240129411,0.29382376163601104
2010-01-12,167.820007,(24822.121297304035+17882.552450500396j),30592.86498258985,0.6243049045455217,(195.62350674728225+4.323274044241355j),0.0,0.0,(205.51162837597892-4.489532827751841j),0.0,0.0,(223.80021188609416-6.0433038321700945j),30592.86498258985,0.6243049045455217,(241.25759776792225-2.4937082096705456j),30592.86498258985,0.6243049045455217,(187.67074030150962-0.09997001388070181j),30592.86498258985,0.6243049045455217
2010-01-13,169.070007,(6989.14304074682+24192.001537507967j),25181.363323593254,1.289551054202583,(195.53412888843525+4.279066429545872j),0.0,0.0,(205.3424312404643-4.5142203382401185j),0.0,0.0,(223.3704031894192-6.057108684332924j),0.0,0.0,(239.80592208702706-2.4402163606904956j),25181.363323593254,1.289551054202583,(181.3654436090213-0.06391785108747072j),25181.363323593254,1.289551054202583
2010-01-14,168.529999,(12398.154757396469+6757.652172611557j),14120.201991273156,0.4990372433505506,(195.44448821717884+4.234768634354012j),0.0,0.0,(205.17279874740433-4.538527305454986j),0.0,0.0,(222.93771138976825-6.069764681102342j),0.0,0.0,(238.34582556340618-2.3844390377715463j),14120.201991273156,0.4990372433505506,(175.49380713817425-0.026371874808823748j),14120.201991273156,0.4990372433505506
2010-01-15,165.21000700000005,(12835.918060655902+11767.858721780574j),17413.882144876814,0.7420150194029487,(195.35458483750034+4.190381592233045j),0.0,0.0,(205.00273616353462-4.562451680348726j),0.0,0.0,(222.50218125277186-6.08126942200802j),0.0,0.0,(236.87793560912775-2.3264284812066514j),17413.882144876814,0.7420150194029487,(170.08260284111+0.011790434177363807j),17413.882144876814,0.7420150194029487
