DATE,MEDCPIM158SFRBCLE
2010-01-01,0.680110845940707
2010-02-01,-0.10662785426794899
2010-03-01,-0.28606424629804605
2010-04-01,0.45261625417847295
2010-05-01,0.27574788971958
2010-06-01,1.2647526767523898
2010-07-01,0.632305068442718
2010-08-01,0.43020593403721996
2010-09-01,1.53627227687154
2010-10-01,1.1260905710720202
2010-11-01,1.31829898066591
2010-12-01,1.393380280754
2011-01-01,2.27322625990496
2011-02-01,2.8169688979258902
2011-03-01,1.74418998266395
2011-04-01,2.24921919600376
2011-05-01,2.3058155396238997
2011-06-01,1.92672807632472
2011-07-01,2.5370313756665
2011-08-01,3.1779707716990093
2011-09-01,2.49197707942446
2011-10-01,2.02226514469577
2011-11-01,1.8470137988752198
2011-12-01,2.37433305779156
2012-01-01,3.19808928450254
2012-02-01,1.6845519133678302
2012-03-01,2.42029632056173
2012-04-01,2.2851338427891696
2012-05-01,1.7320720722101297
2012-06-01,1.92206327761144
2012-07-01,2.08371119432122
2012-08-01,2.4238660191344503
2012-09-01,2.2866037427289303
2012-10-01,1.8750476631537398
2012-11-01,2.0721553787935503
2012-12-01,1.7906501656690201
2013-01-01,2.74180750368704
2013-02-01,2.45154222786008
2013-03-01,1.21535791179703
2013-04-01,2.088884185994
2013-05-01,1.9563823322529
2013-06-01,2.13725043962469
2013-07-01,2.00320004740069
2013-08-01,2.1480298989162
2013-09-01,2.23216017314456
2013-10-01,1.16372929089217
2013-11-01,2.60550640737742
2013-12-01,2.8446440822717203
2014-01-01,2.4063265035218797
2014-02-01,2.3508313464702497
2014-03-01,2.8589766754357098
2014-04-01,2.21493222879676
2014-05-01,2.54562660708071
2014-06-01,1.31136444111866
2014-07-01,2.4049038383757497
2014-08-01,1.7517369153509799
2014-09-01,1.93541098458714
2014-10-01,2.4289565511268
2014-11-01,2.25631054100233
2014-12-01,2.3833942455642
2015-01-01,1.94752959883826
2015-02-01,1.95449451571832
2015-03-01,2.43333592636743
2015-04-01,2.96265053867684
2015-05-01,2.5012910991095
2015-06-01,2.9723995643109196
2015-07-01,1.9220253006031698
2015-08-01,1.63579063211565
2015-09-01,2.9984156927587198
2015-10-01,2.28316449144805
2015-11-01,2.2654806001265
2015-12-01,1.83471969623819
2016-01-01,2.70841659132004
2016-02-01,2.53771440127248
2016-03-01,2.22200455864592
2016-04-01,3.8254778833095098
2016-05-01,3.2805191880404
2016-06-01,2.10339046055212
2016-07-01,2.49016471097936
2016-08-01,2.7425708907920803
2016-09-01,2.49832933493122
2016-10-01,2.01802556175075
2016-11-01,2.45883151623452
2016-12-01,2.03838510774881
2017-01-01,3.349229754927
2017-02-01,2.6177801175291098
2017-03-01,1.46502021032573
2017-04-01,2.08209241078028
2017-05-01,2.15511322711943
2017-06-01,1.82360038642597
2017-07-01,2.19674088804558
2017-08-01,2.7462102103492403
2017-09-01,2.82643392922701
2017-10-01,2.38770662483938
2017-11-01,2.21233872865907
2017-12-01,2.95574718908234
2018-01-01,3.62927730823905
2018-02-01,2.0689952637463302
2018-03-01,2.27859281694485
2018-04-01,2.93200914809488
2018-05-01,3.1113162366432
2018-06-01,3.01189327479801
2018-07-01,2.2764980985289
2018-08-01,2.2967112867851003
2018-09-01,2.67828711099336
2018-10-01,2.32486626913122
2018-11-01,3.4834371089899303
2018-12-01,2.92689509493431
2019-01-01,2.9421528542961095
2019-02-01,2.8563444069763704
2019-03-01,2.98945826066714
2019-04-01,3.16758847503622
2019-05-01,2.5585351456762795
2019-06-01,3.97472775912058
2019-07-01,2.61785341254539
2019-08-01,2.6257566309874503
2019-09-01,3.1506552025939
2019-10-01,2.70227548337825
2019-11-01,2.9606860593198103
2019-12-01,1.99922239247532
2020-01-01,2.59221521034123
2020-02-01,2.78878634805175
2020-03-01,2.57672999610479
2020-04-01,1.7631315336158002
2020-05-01,3.0919936157907797
2020-06-01,1.7091233330722702
2020-07-01,2.8424263942497
2020-08-01,2.43336278982706
2020-09-01,1.16580287023458
2020-10-01,2.79575665102236
2020-11-01,0.975507965876798
2020-12-01,1.7310060494554902
2021-01-01,0.976160135861592
2021-02-01,2.8363413155619597
2021-03-01,1.8331691382661701
